wavelength_nm,usgs_aspen_green_reflectance,usgs_dry_grass_reflectance,usgs_sand_reflectance,usgs_seawater_reflectance,chemla_bchl_a_yf10_absorbance,chemla_smurfp_biliverdin_ecoli_absorbance,chemla_smurfp_biliverdin_pputida_absorbance
610.0,0.0765565837,0.202728284,0.246652948,0.0211126646,0.0493852572,0.562786076,0.597076693
611.0,0.075991139,0.20335348,0.24685507,0.0210984895,0.0430312992,0.568146,0.601383766
612.0,0.0754489329,0.203973266,0.247082282,0.0210930144,0.0373394286,0.574344223,0.606545244
613.0,0.0749372289,0.204584312,0.247308914,0.0210812735,0.032128972,0.581151987,0.612327972
614.0,0.0744303041,0.205187118,0.247486216,0.0210664203,0.0268757337,0.587903598,0.617739366
615.0,0.0738939474,0.205783214,0.247712178,0.0210477218,0.0218967533,0.594767692,0.623208009
616.0,0.073307447,0.20637423,0.24793939,0.0210317044,0.0175053558,0.601877089,0.628839835
617.0,0.0727036925,0.206962632,0.248138434,0.0210183684,0.0132476158,0.609070193,0.634422809
618.0,0.0721290997,0.207550928,0.248334096,0.0210074528,0.00910159326,0.616252461,0.640084173
619.0,0.0716188202,0.208141298,0.248545766,0.0209967692,0.00575524248,0.622691724,0.647288505
620.0,0.071163543,0.20873465,0.24875832,0.020985999,0.00229036598,0.629500852,0.653733371
621.0,0.070742968,0.209331236,0.248951762,0.0209767216,-0.00133034988,0.636796285,0.659179681
622.0,0.0703428686,0.209931442,0.249150374,0.0209678411,-0.00464492817,0.643035482,0.665398504
623.0,0.0699737851,0.210535742,0.249337344,0.0209567761,-0.00783104963,0.649132791,0.67162379
624.0,0.0696524042,0.211144504,0.249510318,0.0209466612,-0.0107621296,0.655790545,0.676973998
625.0,0.069392845,0.21175748,0.24968179,0.0209374966,-0.0133825411,0.661799678,0.682351651
626.0,0.0691987487,0.212371866,0.249860732,0.020927823,-0.0157425394,0.667265115,0.687752308
627.0,0.06907109,0.212983968,0.250046076,0.0209179138,-0.0179790065,0.672756609,0.692173973
628.0,0.0690027634,0.213590968,0.250236836,0.0209075871,-0.0201187666,0.678154773,0.696623483
629.0,0.0689530895,0.214191134,0.250435168,0.0209003078,-0.0220450709,0.683312643,0.701373944
630.0,0.068873048,0.21478295,0.25063151,0.0208941413,-0.0238329392,0.688282993,0.705380759
631.0,0.0687308426,0.215366182,0.250825024,0.0208862363,-0.0255346696,0.693125403,0.708993347
632.0,0.0685622071,0.215942123,0.251017744,0.0208768427,-0.0267411087,0.69687503,0.712510979
